Statistical profiling result from isolate-0x55b09fc89ae0-13723-v8.log, (10956 ticks, 41 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *resOnFinish node:_http_server:786:21
      5    0.0%    0.1%  LazyCompile: *replaceStack /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      5    0.0%    0.1%  Function: ^parse /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/content-type/index.js:106:16
      4    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      4    0.0%    0.1%  RegExp: ^(?:\()
      4    0.0%    0.1%  RegExp: ^(?:=)
      4    0.0%    0.1%  RegExp: ^(?:(~)?\}\})
      4    0.0%    0.1%  LazyCompile: *yy.locInfo /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:42:25
      4    0.0%    0.1%  LazyCompile: *send /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express/lib/response.js:107:25
      4    0.0%    0.1%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      4    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      4    0.0%    0.1%  LazyCompile: *preparePath /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      4    0.0%    0.1%  LazyCompile: *prepareMustache /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:99:25
      4    0.0%    0.1%  LazyCompile: *_flushOutput node:_http_outgoing:950:63
      4    0.0%    0.1%  LazyCompile: *SourceNode_toString /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/source-map/lib/source-node.js:318:61
      4    0.0%    0.1%  LazyCompile: *Readable.on node:internal/streams/readable:898:33
      4    0.0%    0.1%  LazyCompile: *<anonymous> :1:20
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:15:44
      3    0.0%    0.1%  RegExp: ^\s*?\r?\n
      3    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      3    0.0%    0.1%  RegExp: ^(?:false(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      3    0.0%    0.1%  RegExp: ^(?:\s+)
      3    0.0%    0.1%  RegExp: ^(?:[^\x00]+)
      3    0.0%    0.1%  RegExp: [ \t]+$
      3    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.1%  LazyCompile: *popStack /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      3    0.0%    0.1%  LazyCompile: *opcode /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      3    0.0%    0.1%  LazyCompile: *lookupProperty /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      3    0.0%    0.1%  LazyCompile: *lookupOnContext /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      3    0.0%    0.1%  LazyCompile: *get node:_http_incoming:108:16
      3    0.0%    0.1%  LazyCompile: *entitytag /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/etag/index.js:39:20
      3    0.0%    0.1%  LazyCompile: *createNewLookupObject /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      3    0.0%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:530:21
      3    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      3    0.0%    0.1%  LazyCompile: *_writeRaw node:_http_outgoing:344:19
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      3    0.0%    0.1%  Function: ^<anonymous> :1:20
      3    0.0%    0.1%  Function: ^<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      2    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:null(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:-?[0-9]+(?:\.[0-9]+)?(?=([~}\s)])))
      2    0.0%    0.0%  RegExp: ^(?:'(\\[']|[^'])*')
      2    0.0%    0.0%  RegExp: ^(?:"(\\["]|[^"])*")
      2    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.0%  RegExp: [&<>"'`=]
      2    0.0%    0.0%  LazyCompile: *setupHelper /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      2    0.0%    0.0%  LazyCompile: *setopts /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/glob/common.js:48:18
      2    0.0%    0.0%  LazyCompile: *setInput /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:399:40
      2    0.0%    0.0%  LazyCompile: *readFileAfterStat node:fs:326:27
      2    0.0%    0.0%  LazyCompile: *quotedString /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      2    0.0%    0.0%  LazyCompile: *query /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express/lib/middleware/query.js:39:24
      2    0.0%    0.0%  LazyCompile: *pushStackLiteral /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      2    0.0%    0.0%  LazyCompile: *push /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      2    0.0%    0.0%  LazyCompile: *prepareProgram /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      2    0.0%    0.0%  LazyCompile: *parseWithoutProcessing /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      2    0.0%    0.0%  LazyCompile: *parse /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/minimatch/minimatch.js:271:16
      2    0.0%    0.0%  LazyCompile: *join node:path:1166:7
      2    0.0%    0.0%  LazyCompile: *id /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:44:12
      2    0.0%    0.0%  LazyCompile: *handle /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express/lib/router/index.js:136:31
      2    0.0%    0.0%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:530:29
      2    0.0%    0.0%  LazyCompile: *getHeader node:_http_outgoing:590:57
      2    0.0%    0.0%  LazyCompile: *emit node:events:340:44
      2    0.0%    0.0%  LazyCompile: *classifySexpr /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:363:40
      2    0.0%    0.0%  LazyCompile: *appendToBuffer /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      2    0.0%    0.0%  LazyCompile: *appendContent /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:375:40
      2    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      2    0.0%    0.0%  LazyCompile: *WhitespaceControl.BlockStatement.WhitespaceControl.DecoratorBlock.WhitespaceControl.PartialBlockStatement /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:75:152
      2    0.0%    0.0%  LazyCompile: *Socket.resume node:net:630:35
      2    0.0%    0.0%  LazyCompile: *Readable node:internal/streams/readable:186:18
      2    0.0%    0.0%  LazyCompile: *Glob._finish /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/glob/glob.js:185:35
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express-handlebars/dist/express-handlebars.js:201:47
      2    0.0%    0.0%  Function: ^readFileAfterClose node:internal/fs/read_file_context:46:28
      2    0.0%    0.0%  Function: ^onEofChunk node:internal/streams/readable:556:20
      2    0.0%    0.0%  Function: ^normalize node:path:1127:12
      2    0.0%    0.0%  Function: ^listenerCount node:events:722:23
      2    0.0%    0.0%  Function: ^jsonParser /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/body-parser/lib/types/json.js:98:30
      2    0.0%    0.0%  Function: ^insert node:internal/timers:350:16
      2    0.0%    0.0%  Function: ^initAsyncResource node:internal/timers:157:27
      2    0.0%    0.0%  Function: ^go$readFile /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/graceful-fs/graceful-fs.js:117:26
      2    0.0%    0.0%  Function: ^fulfilled /home/manuel/Documentos/trabajos-curso-MERN/Trabajo-31/node_modules/express-handlebars/dist/express-handlebars.js:21:27
